,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0,100,4.150197426478068,0.047556391249308314,0.015003681182861328,0.0024328855420923706,0.5488180157922855,3,2,100,"{'learning_rate': 0.5488180157922855, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.6860498426819089,0.6908357487311276,0.6866274181473964,0.6878376698534776,0.0021330347820326333,42,0.7350656886919618,0.7335455746917274,0.7348028757509586,0.7344713797115493,0.0006633771484031082
1,0,100,6.715426445007324,0.043456128007268065,0.02434571584065755,0.002415223624397854,0.6027673484378832,5,9,100,"{'learning_rate': 0.6027673484378832, 'max_depth': 5, 'min_samples_split': 9, 'n_estimators': 100}",0.6597195137920627,0.6675137177595575,0.6605902632842242,0.6626078316119481,0.0034871516876962085,92,0.8216088790181839,0.815592705995819,0.8207248830128272,0.8193088226756101,0.002652358022306125
2,0,100,4.099731683731079,0.01912098424302771,0.01291044553120931,0.000789493772309014,0.42366056279091135,3,20,100,"{'learning_rate': 0.42366056279091135, 'max_depth': 3, 'min_samples_split': 20, 'n_estimators': 100}",0.6892353739036956,0.6960998144902086,0.6935120374752477,0.6929490752897173,0.0028305277432774155,22,0.7294049459678345,0.7264434758598688,0.7286194877292451,0.7281559698523162,0.001252653960402501
3,0,100,5.426404635111491,0.08336049598153253,0.01770130793253581,0.002619462373216431,0.4375928353905799,4,26,100,"{'learning_rate': 0.4375928353905799, 'max_depth': 4, 'min_samples_split': 26, 'n_estimators': 100}",0.6875039527277271,0.6949962701821435,0.6897701354044786,0.6907567861047831,0.003137282785335795,30,0.7604597777177651,0.7574051687882335,0.7620059707772961,0.7599569724277648,0.0019116231506898058
4,0,100,5.4433276653289795,0.03899221488729565,0.02188412348429362,0.003753121662762681,0.9636631238734242,4,3,100,"{'learning_rate': 0.9636631238734242, 'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 100}",0.6326033258568959,0.6490095373123859,0.6408087119654844,0.6408071917115887,0.006697807865958391,96,0.784102073002323,0.7802749783291913,0.7842792339165372,0.7828854284160173,0.0018472833637963445
5,0,100,6.593983332316081,0.020242666667935564,0.030854304631551106,0.0038700188379924786,0.7917271208322838,5,16,100,"{'learning_rate': 0.7917271208322838, 'max_depth': 5, 'min_samples_split': 16, 'n_estimators': 100}",0.6441513033107085,0.6434218918628002,0.6279157013271448,0.6384962988335511,0.007487535996998127,97,0.8285310021404675,0.8221835756843471,0.8253910444253438,0.8253685407500528,0.0025913748558780564
6,0,100,4.120785474777222,0.004461281932752928,0.014555136362711588,0.0016258394674233468,0.5680488806483214,3,27,100,"{'learning_rate': 0.5680488806483214, 'max_depth': 3, 'min_samples_split': 27, 'n_estimators': 100}",0.6873716027036215,0.6949743230060736,0.6856652626643706,0.6893370627913552,0.0040465562419356865,34,0.7338432645532992,0.7318508970882693,0.7326749455893726,0.7327897024103137,0.0008174182425546663
7,0,100,4.124672969182332,0.0276258569898162,0.02112404505411784,0.004554469312172333,0.07104534783730496,3,22,100,"{'learning_rate': 0.07104534783730496, 'max_depth': 3, 'min_samples_split': 22, 'n_estimators': 100}",0.6840673803593715,0.6865524719574891,0.6827757373622307,0.6844651965596972,0.0015672958341650196,63,0.6956301245640906,0.692293212083317,0.6952431723163095,0.6943888363212389,0.0014902267658403517
8,0,100,6.8810657660166425,0.13715607786221673,0.03690520922342936,0.002678284481911397,0.020228195256351316,5,7,100,"{'learning_rate': 0.020228195256351316, 'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 100}",0.6729165426765539,0.6727581857363443,0.6681755485419645,0.6712834256516209,0.002198551693982924,90,0.6871089920789268,0.6834951620205275,0.6872944745242717,0.6859662095412421,0.0017489344987934386
9,0,100,6.623327811559041,0.0841028097185557,0.01883395512898763,0.0003600085983222753,0.778158969382341,5,2,100,"{'learning_rate': 0.778158969382341, 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.6312333796014884,0.6390354269051084,0.6270318981922083,0.6324335682329351,0.004973363379286675,99,0.8339812149522496,0.8347445387018266,0.8353924428009598,0.8347060654850121,0.0005767732954710676
10,0,100,2.797964016596476,0.09688399496654151,0.012923399607340494,0.0009520224795977838,0.9786185560493417,2,19,100,"{'learning_rate': 0.9786185560493417, 'max_depth': 2, 'min_samples_split': 19, 'n_estimators': 100}",0.6819754037090971,0.6827640860924391,0.6773371575004856,0.6806922157673406,0.0023941340753241822,79,0.7073864759554795,0.7039893951005768,0.707972038672344,0.7064493032428002,0.0017557680133354619
11,0,100,6.718826611836751,0.047767174963815495,0.02047872543334961,0.001553882598048942,0.46148474745930934,5,21,100,"{'learning_rate': 0.46148474745930934, 'max_depth': 5, 'min_samples_split': 21, 'n_estimators': 100}",0.6798125506515218,0.6874938900164775,0.6775744348603414,0.6816269585094469,0.004247976346044016,75,0.7987778404765711,0.7991707696913998,0.8031030138111002,0.800350541326357,0.0019528913481327472
12,0,100,2.7797677516937256,0.03528716428756277,0.01236120859781901,0.004633838768049977,0.11828324312467453,2,3,100,"{'learning_rate': 0.11828324312467453, 'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 100}",0.6779327390192071,0.6807955610211056,0.6743794021434371,0.6777025673945832,0.0026244374531770604,84,0.6862480982157946,0.6832278520080823,0.6851813907717237,0.6848857803318668,0.0012506027714437812
